Simple H Replacements	Description 1	Aryl substituent Scan	Description 3	Aryl group addition	Description 4	Switches	Description 5	Acid isosteres	Empty	Virtual Ring	Description 7	Metabolism	Description 8	Ester/amide isosteres	Description 9	Phenol isosteres	Description 10	More aryl rings	Description 2	Diamine ring morphing	Reference 1	Reference 2	Reference 3	Reference 4
[C:1]>>[C:1]O	add hydroxy	[c;H1:1]>>[c:1]O	add hydroxy					[*:1][C:2]([OH])=O>>[*:1][C:2]1=CN=CN1O		[A;R1:6]1[A;R1:5][A;R1:8][A;R1:1][A;R1:2][A;R1:3]([A;R1:4]1)[*:7]>>[A:6][A:5][A:8][A:1][A:2][A:3]([A:4])[*:7]	break open a cycloheptyl	"[cH1$(c1[c,n][c,n]2[c,n]([c,n][c,n]1)[c,n]([c,n][c,n][c,n]2)*):1]>>[c:1]F"	Biaryl - protect 6 position	"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:2]C(C#N)=NO[#6:1]"	cyano oxime			[n:1][n:2][n:3][c:4]>>[n:1][n:2][c:3][n:4]	nnnc --> nncn	C1CN(CCN1[*:1])[*:2]>>C1C(C(CCC1)/N[*:1])\N[*:2]	180683-64-1	146504-07-6	364385-54-6	365996-30-1
[C:1]>>[C:1]S(=O)(=O)C	add sulfone	[c;H1:1]>>[c:1]S(=O)(=O)N(C)	add sulfonamide					[*:1][C:2]([OH])=O>>[*:1][N:2]1S(NC(C1)=O)(=O)=O		[A;R1:6]1[A;R1:5][A;R1:8][A;R1:1][A;R1:2][A;R1:3]([A;R1:4]1)[*:7]>>[A:6][A:4][A:3]([A:2][A:1][A:8][A:5])[*:7]	break open a cycloheptyl	"[cH1$(c1[c,n][c,n]2[c,n]([c,n][c,n]1)[c,n]([c,n][c,n][c,n]2)*):1]>>[c:1]Cl"	Biaryl - protect 6 position	"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:1]C(=NC)N[#6:2]"	amidine			[n:1][o:2][n:3][c:4]>>[n:1][o:2][c:3][n:4]	nonc --> nocn	C1CN(CCN1[*:1])[*:2]>>N1(CC2(C1)N(CC2)[*:1])[*:2]	1272412-72-2			
[C:1]>>[C:1]S(=O)(=O)N(C)	add sulfonamide	[c;H1:1]>>[c:1]S(=O)C	add methylsulfoxide					[*:1][C:2]([OH])=O>>[*:1][N:2]1C(NS(C1)(=O)=O)=O		[A;R1:6]1[A;R1:5][A;R1:8][A;R1:1][A;R1:2][A;R1:3]([A;R1:4]1)[*:7]>>[A:6]([A:4][A:3]([A:2][A:1][A:8])[*:7])[A:5]	break open a cycloheptyl	"[cH1$(c1[c,n][c,n]2[c,n]([c,n][c,n]1)[c,n]([c,n][c,n][c,n]2)*):1]>>[c:1]C"	Biaryl - protect 6 position	"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:2]C(=NC)N[#6:1]"	reverse amidine			[c:1][n:2]>>[n:1][n:2]	cn --> nn	C1CN(CCN1[*:1])[*:2]>>N1(CC2(C1)C(CC2)N[*:1])[*:2]	1330765-13-3			
[C:1]>>[C:1]S(=O)(=O)N(C)(C)	add sulfonamide	[c;H1:1]>>[c:1]N(C)C(=O)C	add acetamido					[*:1][C:2]([OH])=O>>[*:1][C:2]1SC(NC1=O)=O				"[cH1$(c1[c,n][c,n]2[c,n]([c,n][c,n]1)[c,n]([c,n][c,n][c,n]2)*):1]>>[c:1]Br"	Biaryl - protect 6 position	"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:1]c1cnc(cn1)[#6:2]"	pyrazine			[c$(c1ccc[c:2]c1)H1:1][cH1][c:2]>>[o:1][c:2]	phenyl --> furan	C1CN(CCN1[*:1])[*:2]>>C1(CCC(CC1)/N[*:1])/N[*:2]	247570-24-7	177906-48-8		
[C:1]>>[C:1]S(=O)C	add sulfone	[c;H1:1]>>[c:1]NS(=O)(=O)C	add sulfonamide					[*:1][C:2]([OH])=O>>[*:1][C:2]1OC(NC1=O)=O						"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:1]c1cncc(n1)[#6:2]"				c1(ccc(cc1)[*:1])[*:2]>>[*:1]C21CC(C1)(C2)[*:2]	"1,4-pheny; --> 2.2.2 tricycle"	C1CN(CCN1[*:1])[*:2]>>N1(CCC2(CC1)CN(CCC2)[*:1])[*:2]	102359-51-3			
[C:1]>>[C:1]F	add F	[c;H1:1]>>[c:1]N(C)S(=O)(=O)C	add sulfonamide					[*:1][C:2]([OH])=O>>[*:1][N:2]1CC(C(C1=O)=CO)=O				"[cH1$(c1[c,n][c,n][c,n]2[c,n]([c,n]1)[c,n]([c,n][c,n][c,n]2)*):1]>>[c:1]Br"	Biaryl - protect 7 position	"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:2]Nc=1oc(=nn=1)[#6:1]"	"amino 1,2,4-oxazole"			[n;H0:1]>>[c:1]	aryl n --> aryl c	C1CN(CCN1[*:1])[*:2]>>C1C2(C(CN1[*:1])(N(C2)[*:2])/[H])/[H]	1017789-34-2			
[C:1]>>[C:1]NC(=O)C	add acetamide	[c;H1:1]>>[c:1]NC	add nitrogen					[*:1][C:2]([OH])=O>>[*:1][C:2]=1C(OCC=1O)=O				"[cH1$(c1[c,n][c,n][c,n]2[c,n]([c,n]1)[c,n]([c,n][c,n][c,n]2)*):1]>>[c:1]F"	Biaryl - protect 7 position	"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:1]Nc=1oc(=nn=1)[#6:2]"	"reversed amino-1,2,4-oxazole"			[c:1]s[c:2]>>[c:1]cc[c:2]	thiophene --> phenyl	C1CN(CCN1[*:1])[*:2]>>N1(CC2CCC(C1)N2[*:1])[*:2]	201162-53-0			
[C:1]>>[C:1]NS(=O)(=O)C	add sulfonamide	[c;H1:1]>>[c:1]N(C)(C)	add nitrogen					[*:1][C:2]([OH])=O>>[*:1][C:2]=1C(C(C=1O)=O)=O				"[cH1$(c1[c,n][c,n][c,n]2[c,n]([c,n]1)[c,n]([c,n][c,n][c,n]2)*):1]>>[c:1]Cl"	Biaryl - protect 7 position	"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:2]Nc1=nc(=no1)[#6:1]"	"amino-1,3,4- oxazole"			[c:1]o[c:2]>>[c:1]cc[c:2]	furan --> phenyl	C1CN(CCN1[*:1])[*:2]>>N1(CC2N(CC1C2)[*:1])[*:2]	113451-59-5			
[C:1]>>[C:1]N(C)S(=O)(=O)C	add sulfonamide	[c;H1:1]>>[c:1]NC(=O)N	add urea					[*:1][C:2]([OH])=O>>[*:1][N:2]C=1C(C(C=1O)=O)=O				"[cH1$(c1[c,n][c,n][c,n]2[c,n]([c,n]1)[c,n]([c,n][c,n][c,n]2)*):1]>>[c:1]C"	Biaryl - protect 7 position	"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:1]Nc1=nc(=no1)[#6:2]"	"reversed amino-1,3,4- oxazole"			[c:1][n;H1][c:2]>>[c:1]cc[c:2]	pyrrole --> phenyl	C1CN(CCN1[*:1])[*:2]>>N1(CC2N(CC1CC2)[*:1])[*:2]	615575-74-1			
[C:1]>>[C:1]N(C)	add amino	[c;H1:1]>>[c:1]N(C)C(=O)N	add urea					[*:1][C:2]([OH])=O>>[*:1][P:2](=O)(O)O						"[NX3H1H0,OH0]([CX3](=[OX1])[#6:1])[CX4,c:2]>>[#6:2]Nc=1n=c(on=1)[#6:1]"	"isomeric amino-1,3,4- oxazole"			[n;r5;R1;H1:1][n:2]>>[n:1]c[n:2]	nn --> ncn	C1CN(CCN1[*:1])[*:2]>>c:1(:c:c:c(:c:c:1)N[*:1])N[*:2]	71026-66-9			
